OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
-1,0,1,99.6,0,5000,0,15000,0,77.7,22.61,0.3,1,12,0
0,0,0,0,0,0,0,16000,0,50.3,16.91,0,3,391,-1
0,0,0,0,0,0,0,17000,3.6,105,15.75,0,14,454,-1
0,0,0,0,0,0,0,18000,16.05,188.9,14.07,0,110,1224,17
2,115,10,71.2,18.4,1890.05,-67.85,19000,26.8,340.1,12.38,28.7,299,1288,187
58,812,138,53.7,15.94,1165.15,-88.5,20000,33.75,590,10.34,46.2,111,730,39
-41,739,122,36.2,13.9,602,-50.05,21000,18.65,946,6.43,63.7,128,170,18
0,0,0,0,0,0,0,22000,0,1080.05,0,0,2,1,-1
0,0,0,0,0,0,0,24000,0,3900,15.03,0,1,0,-1
