OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
0,16,2,100,0,8402.05,0,11000,0,2.05,31.88,0,1,5.5,0
0,0,0,0,0,0,0,12000,-2.1,3.05,28.65,0,1,245,0
0,0,0,0,0,0,0,12700,0,23.95,33.18,0,8,81,0
-1,34,7,99.9,41.75,7164,0,13000,0,9.05,27.72,0,124,642,6
0,0,0,0,0,0,0,13500,0,3.15,22.61,0,1,237,0
0,19,1,99.9,0,4900,0,14000,0.85,18.8,25.9,0,46,2408,5
0,21.5,2,99.9,0,4000,0,14500,0,5.5,20.08,0,2,1157,0
-2,1210,8,99.8,28.47,5140,-95.55,15000,0.95,25.85,22.6,0.1,398,6345.5,-44
3,60,3,99.6,0,3715,0,15500,0,0,0,0.3,0,0,0
-9,1456,16,99,26.42,4198,-115.95,16000,0.2,36,19.35,0.9,507,12864,147
1,84,1,97.8,29.53,3850,0,16500,0,0,0,2.1,0,0,0
171,4320,336,95.7,23.31,3260,-123.85,17000,2.45,63.9,16.9,4.2,1520,22447,-147
-48,3521,142,92.1,22.49,2825.25,-125.6,17500,6.45,86.95,15.7,7.8,786,10671,-81
-153,18278.5,902,86.9,21.02,2384,-117.95,18000,14.35,122.4,14.62,13,3736,64065,51
-27,4023,210,79.8,18.88,1930,-116.3,18500,0,0,0,20.1,0,0,0
-131,22598,936,71.2,18.37,1565,-93.95,19000,33.5,254.55,12.6,28.7,4881,31619,-127
19,32538,2550,51,15.7,857.05,-80.45,20000,43.75,509.5,10.12,48.9,3350,15292,222
131,21090,2671,31.5,13.37,347.55,-44.4,21000,71.55,962.25,4.43,68.4,969,4348,217
-6,6339,1053,16.7,12.27,108,-22.45,22000,90.1,1672,0,83.2,49,478,19
174,1706,490,7.6,13.6,53.9,-6.55,23000,94.2,2555,0,92.3,4,49,0
34,972,190,3,15.13,31.95,-4.35,24000,0,0,0,96.9,0,0,0
0,3,1,1,16.7,21.4,0.05,25000,0,0,0,98.9,0,0,0
