OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
0,0,0,0,0,0,0,14000,0,41.05,20.77,0,4,176.5,0
0,1,1,97.6,0,4599.25,0,15000,0,80,19.88,2.3,2,133.5,1
0,0,0,0,0,0,0,16000,0,124,18.18,0,10,27,0
0,0,0,0,0,0,0,17000,0,182.05,16.24,0,3,23,0
0,76,1,78.9,13.32,2587,0,18000,13.65,290,14.7,21,3,55,0
1,43.5,2,73.3,18.31,2500,0,18500,0,0,0,26.6,0,0,0
1,5,2,67.4,12.14,1760,0,19000,5,465,13.21,32.5,18,36,11
0,16,1,54.6,16.31,1460,0,20000,0,759.95,11.95,45.3,2,12,0
0,0,1,42,21.81,1439.1,0,21000,0,0,0,57.9,0,0,0
